indic_is,ind_type,unit,time\geo	EU28 	EU27 	EU15 	EA 	BE 	BG 	CZ 	DK 	DE 	EE 	IE 	EL 	ES 	FR 	HR 	IT 	CY 	LV 	LT 	LU 	HU 	MT 	NL 	AT 	PL 	PT 	RO 	SI 	SK 	FI 	SE 	UK 	IS 	NO 	ME 	MK 	TR 
I_IHDLTWK,Y25_54ME,PC_IND_IU3,2012	7 	7 	8 	7 	13 	1 	: u	10 	5 	6 	7 	8 	10 	9 	8 	4 	3 	4 	4 	14 	2 	9 	10 	8 	8 	8 	2 	5 	10 	14 	6 	12 	13 	15 	5 	5 	4 
I_IHDLTWK,Y25_54ME,PC_IND_IUHD,2012	21 	21 	20 	22 	34 	13 	: u	16 	17 	27 	22 	41 	25 	24 	21 	21 	20 	25 	42 	25 	18 	20 	20 	19 	44 	36 	23 	22 	33 	25 	9 	19 	28 	23 	14 	30 	22 
I_IHDLTWK,Y25_64,PC_IND,2012	6 	6 	6 	5 	10 	1 	: u	10 	4 	5 	6 	4 	6 	6 	5 	3 	3 	3 	3 	12 	2 	5 	7 	7 	5 	3 	1 	6 	8 	13 	9 	10 	12 	15 	3 	2 	2 
I_IHDLTWK,Y25_64,PC_IND_IU3,2012	7 	7 	8 	7 	12 	2 	: u	10 	5 	6 	7 	8 	9 	8 	8 	5 	6 	4 	5 	13 	3 	7 	8 	8 	9 	5 	2 	8 	10 	14 	9 	11 	12 	15 	5 	4 	4 
I_IHDLTWK,Y25_64,PC_IND_IUHD,2012	21 	21 	20 	22 	35 	14 	: u	18 	18 	28 	19 	31 	21 	21 	21 	23 	22 	22 	36 	26 	18 	17 	17 	19 	40 	30 	16 	31 	33 	27 	14 	17 	29 	25 	13 	21 	20 
I_IHDLTWK,Y25_64HI,PC_IND,2012	8 	8 	8 	8 	13 	3 	: u	11 	6 	6 	7 	7 	8 	8 	12 	6 	7 	5 	6 	14 	4 	6 	7 	8 	12 	8 	2 	16 	12 	16 	10 	11 	16 	18 	2 	4 	5 
I_IHDLTWK,Y25_64HI,PC_IND_IU3,2012	9 	9 	9 	8 	13 	3 	: u	11 	6 	6 	8 	8 	9 	8 	13 	7 	8 	5 	7 	14 	4 	6 	7 	8 	12 	8 	2 	16 	12 	16 	11 	11 	16 	18 	3 	4 	5 
I_IHDLTWK,Y25_64HI,PC_IND_IUHD,2012	19 	19 	18 	19 	32 	14 	: u	16 	19 	26 	16 	26 	18 	17 	25 	23 	22 	20 	34 	26 	18 	11 	13 	15 	38 	29 	11 	41 	32 	27 	15 	15 	28 	27 	7 	11 	17 
I_IHDLTWK,Y25_64LO,PC_IND,2012	3 	3 	3 	3 	8 	0 n	: u	9 	2 	4 	3 	1 	4 	4 	0 	1 	0 n	2 	1 	4 	0 n	3 	6 	3 	0 n	1 	0 n	0 n	2 	8 	14 	4 	7 	12 	3 	0 n	1 
I_IHDLTWK,Y25_64LO,PC_IND_IU3,2012	6 	6 	6 	6 	12 	1 	: u	10 	4 	8 	7 	5 	8 	6 	0 u	3 	3 	3 	3 	6 	1 	5 	7 	5 	1 	3 	0 n	1 	7 u	11 	16 	7 	8 	13 	: u	1 	3 
I_IHDLTWK,Y25_64LO,PC_IND_IUHD,2012	23 	23 	23 	25 	46 	: u	: u	19 	23 	67 u	30 	: u	25 	23 	: u	26 	: u	19 u	: u	15 u	6 u	21 	22 	22 	: u	23 	: u	: u	: u	31 	32 u	15 	28 	24 u	: u	: u	25 
I_IHDLTWK,Y25_64ME,PC_IND,2012	5 	5 	6 	5 	11 	1 	: u	10 	4 	4 	6 	5 	8 	7 	6 	3 	2 	3 	2 	14 	2 	9 	9 	7 	4 	7 	1 	4 	7 	11 	6 	11 	12 	15 	3 	3 	3 
I_IHDLTWK,Y25_64ME,PC_IND_IU3,2012	7 	7 	7 	7 	12 	1 	: u	10 	4 	5 	7 	8 	9 	8 	7 	4 	3 	4 	3 	15 	2 	9 	9 	8 	7 	7 	2 	6 	10 	12 	6 	12 	12 	15 	5 	5 	4 
I_IHDLTWK,Y25_64ME,PC_IND_IUHD,2012	22 	22 	21 	23 	34 	13 	: u	19 	18 	27 	23 	40 	25 	24 	21 	22 	19 	26 	42 	28 	18 	21 	20 	21 	45 	36 	24 	24 	33 	25 	10 	20 	30 	25 	15 	29 	23 
I_IHDLTWK,Y25_64_RETIROTH,PC_IND,2012	3 	3 	4 	3 	6 	0 n	: u	8 	2 	3 	5 	1 	3 	4 	1 	1 	1 	1 	1 	12 	1 	4 	7 	4 	1 	1 	0 n	1 	2 	9 	13 	9 	: 	6 	2 	1 	1 
I_IHDLTWK,Y25_64_RETIROTH,PC_IND_IU3,2012	6 	6 	7 	6 	10 	0 n	: u	11 	4 	6 	8 	3 	7 	6 	4 	3 	3 	3 	2 	15 	1 	9 	8 	7 	4 	3 	2 	2 	5 	11 	16 u	12 	: 	7 	: u	4 	3 
I_IHDLTWK,Y25_64_RETIROTH,PC_IND_IUHD,2012	31 	31 	30 	35 	41 	: u	: u	24 	29 	38 u	35 	: u	33 	36 	32 u	32 	22 u	: u	: u	51 u	20 u	38 u	44 	27 	58 	: u	: u	: u	31 u	35 	36 u	25 	: 	: u	: u	: u	32 
I_IHDLTWK,Y25_64_SALSELFFAM,PC_IND,2012	6 	6 	7 	6 	12 	1 	: u	10 	5 	5 	6 	6 	7 	7 	7 	3 	4 	4 	4 	12 	3 	5 	8 	8 	7 	4 	1 	8 	10 	14 	7 	10 	12 	16 	3 	3 	2 
I_IHDLTWK,Y25_64_SALSELFFAM,PC_IND_IU3,2012	8 	7 	8 	7 	13 	2 	: u	10 	5 	6 	7 	8 	9 	8 	8 	5 	6 	4 	5 	12 	3 	6 	8 	9 	10 	6 	2 	9 	12 	14 	8 	11 	13 	16 	4 	5 	5 
I_IHDLTWK,Y25_64_SALSELFFAM,PC_IND_IUHD,2012	19 	19 	18 	20 	33 	13 	: u	18 	18 	27 	15 	30 	19 	19 	22 	22 	21 	21 	35 	23 	18 	14 	15 	19 	39 	29 	14 	32 	33 	26 	11 	16 	28 	26 	10 	20 	19 
I_IHDLTWK,Y25_64_UNE,PC_IND,2012	5 	5 	6 	5 	11 	1 	: u	10 	3 	3 	7 	6 	7 	7 	4 	3 	5 	2 	3 	23 u	1 	3 u	8 	4 	4 	2 	1 	5 	4 	8 	15 u	12 	16 	: u	3 	2 	1 
I_IHDLTWK,Y25_64_UNE,PC_IND_IU3,2012	8 	8 	8 	8 	14 	2 	: u	10 	4 	4 	9 	10 	10 	8 	8 	5 	8 	3 	6 	24 u	2 	: u	8 	4 	8 	5 	1 	9 	6 	9 	16 u	14 	16 	: u	7 	3 	2 
I_IHDLTWK,Y25_64_UNE,PC_IND_IUHD,2012	28 	28 	27 	28 	47 	27 u	: u	22 u	24 	: u	34 	37 	30 	24 	17 	28 	34 u	27 	51 u	: u	: u	: u	21 u	13 u	67 u	35 u	: u	31 u	27 u	29 u	: u	25 	40 u	: u	22 u	: u	15 
I_IHDLTWK,Y35_44,PC_IND,2012	7 	7 	7 	7 	12 	1 	: u	10 	6 	5 	7 	7 	8 	8 	7 	3 	4 	3 	5 	15 	2 	4 	9 	7 	7 	4 	1 	8 	10 	15 	7 	11 	14 	15 	5 	3 	2 
I_IHDLTWK,Y35_44,PC_IND_IU3,2012	8 	8 	8 	8 	13 	2 	: u	10 	6 	5 	8 	11 	9 	9 	9 	5 	5 	4 	6 	16 	3 	5 	9 	8 	9 	5 	2 	10 	11 	15 	7 	11 	14 	15 	9 	4 	4 
I_IHDLTWK,Y35_44,PC_IND_IUHD,2012	21 	21 	20 	22 	34 	10 	: u	16 	21 	24 	19 	43 	22 	22 	22 	22 	21 	21 	44 	28 	18 	13 	18 	18 	42 	29 	19 	34 	34 	23 	9 	16 	26 	22 	25 u	22 u	20 
I_IHDLTWK,Y45_54,PC_IND,2012	5 	5 	6 	5 	10 	1 	: u	10 	4 	2 	5 	2 	5 	6 	5 	2 	2 	2 	1 	10 	1 	3 	8 	6 	4 	1 	0 n	3 	7 	13 	11 	12 	14 	22 	1 	2 	1 
I_IHDLTWK,Y45_54,PC_IND_IU3,2012	7 	7 	8 	6 	12 	2 	: u	11 	4 	2 	6 	4 	8 	7 	8 	4 	5 	3 	2 	11 	2 	5 	8 	8 	6 	2 	1 	4 	8 	14 	11 	14 	14 	22 	1 	4 	2 
I_IHDLTWK,Y45_54,PC_IND_IUHD,2012	26 	26 	25 	26 	40 	21 	: u	22 	24 	20 	22 	29 u	28 	24 	32 	27 	30 	28 	35 	26 	17 	18 u	22 	25 	44 	20 	8 	30 u	36 	31 	19 	26 	38 	40 	: u	27 u	22 
I_IHDLTWK,Y55_64,PC_IND,2012	3 	3 	4 	3 	6 	0 n	: u	9 	2 	0 n	3 	1 	3 	3 	1 	1 	1 	1 	0 n	13 	1 	3 	5 	5 	1 	0 n	0 n	3 	3 	7 	7 	10 	7 	13 	0 n	1 	0 n
